TIME,GEO,UNIT,PRODUCT,INDIC_NRG,Value
2007,Euro area (19 countries),Terajoule,Renewable energies,Gross inland consumption,4175040.9
2007,Euro area (19 countries),Terajoule,Hydro power,Gross inland consumption,773942.4
2007,Euro area (19 countries),Terajoule,Wind power,Gross inland consumption,322826.4
2007,Euro area (19 countries),Terajoule,Solar thermal,Gross inland consumption,37456
2007,Euro area (19 countries),Terajoule,Solar photovoltaic,Gross inland consumption,13508.3
2007,Belgium,Thousand tonnes,Renewable energies,Gross inland consumption,:
2007,Belgium,Thousand tonnes,Hydro power,Gross inland consumption,:
2007,Belgium,Thousand tonnes,Wind power,Gross inland consumption,:
2007,Belgium,Thousand tonnes,Solar thermal,Gross inland consumption,:
2007,Belgium,Thousand tonnes,Solar photovoltaic,Gross inland consumption,:
2007,Belgium,Thousand tonnes of oil equivalent (TOE),Renewable energies,Gross inland consumption,1590.7
2007,Belgium,Thousand tonnes of oil equivalent (TOE),Hydro power,Gross inland consumption,33.4
2007,Belgium,Thousand tonnes of oil equivalent (TOE),Wind power,Gross inland consumption,42.2
2007,Belgium,Thousand tonnes of oil equivalent (TOE),Solar thermal,Gross inland consumption,4.6
2007,Belgium,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Gross inland consumption,0.5
2007,Belgium,Terajoule,Renewable energies,Gross inland consumption,66599.5
2007,Belgium,Terajoule,Hydro power,Gross inland consumption,1400.4
2007,Belgium,Terajoule,Wind power,Gross inland consumption,1767.6
2007,Belgium,Terajoule,Solar thermal,Gross inland consumption,193
2007,Belgium,Terajoule,Solar photovoltaic,Gross inland consumption,21.8
2007,Bulgaria,Thousand tonnes,Renewable energies,Gross inland consumption,:
2007,Bulgaria,Thousand tonnes,Hydro power,Gross inland consumption,:
2007,Bulgaria,Thousand tonnes,Wind power,Gross inland consumption,:
2007,Bulgaria,Thousand tonnes,Solar thermal,Gross inland consumption,:
2007,Bulgaria,Thousand tonnes,Solar photovoltaic,Gross inland consumption,:
2007,Bulgaria,Thousand tonnes of oil equivalent (TOE),Renewable energies,Gross inland consumption,961.6
2007,Bulgaria,Thousand tonnes of oil equivalent (TOE),Hydro power,Gross inland consumption,247.1
2007,Bulgaria,Thousand tonnes of oil equivalent (TOE),Wind power,Gross inland consumption,4
2007,Bulgaria,Thousand tonnes of oil equivalent (TOE),Solar thermal,Gross inland consumption,0
2007,Bulgaria,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Gross inland consumption,0
2007,Bulgaria,Terajoule,Renewable energies,Gross inland consumption,40261.1
2007,Bulgaria,Terajoule,Hydro power,Gross inland consumption,10346.4
2007,Bulgaria,Terajoule,Wind power,Gross inland consumption,169.2
2007,Bulgaria,Terajoule,Solar thermal,Gross inland consumption,0
2007,Bulgaria,Terajoule,Solar photovoltaic,Gross inland consumption,0.2
2007,Czechia,Thousand tonnes,Renewable energies,Gross inland consumption,:
2007,Czechia,Thousand tonnes,Hydro power,Gross inland consumption,:
2007,Czechia,Thousand tonnes,Wind power,Gross inland consumption,:
2007,Czechia,Thousand tonnes,Solar thermal,Gross inland consumption,:
2007,Czechia,Thousand tonnes,Solar photovoltaic,Gross inland consumption,:
2007,Czechia,Thousand tonnes of oil equivalent (TOE),Renewable energies,Gross inland consumption,2320
2007,Czechia,Thousand tonnes of oil equivalent (TOE),Hydro power,Gross inland consumption,179.6
2007,Czechia,Thousand tonnes of oil equivalent (TOE),Wind power,Gross inland consumption,10.7
2007,Czechia,Thousand tonnes of oil equivalent (TOE),Solar thermal,Gross inland consumption,3.8
2007,Czechia,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Gross inland consumption,0.2
2007,Czechia,Terajoule,Renewable energies,Gross inland consumption,97135.8
2007,Czechia,Terajoule,Hydro power,Gross inland consumption,7520.4
2007,Czechia,Terajoule,Wind power,Gross inland consumption,450
2007,Czechia,Terajoule,Solar thermal,Gross inland consumption,161
2007,Czechia,Terajoule,Solar photovoltaic,Gross inland consumption,7.7
2007,Denmark,Thousand tonnes,Renewable energies,Gross inland consumption,:
2007,Denmark,Thousand tonnes,Hydro power,Gross inland consumption,:
2007,Denmark,Thousand tonnes,Wind power,Gross inland consumption,:
2007,Denmark,Thousand tonnes,Solar thermal,Gross inland consumption,:
2007,Denmark,Thousand tonnes,Solar photovoltaic,Gross inland consumption,:
2007,Denmark,Thousand tonnes of oil equivalent (TOE),Renewable energies,Gross inland consumption,3206
2007,Denmark,Thousand tonnes of oil equivalent (TOE),Hydro power,Gross inland consumption,2.4
2007,Denmark,Thousand tonnes of oil equivalent (TOE),Wind power,Gross inland consumption,616.6
2007,Denmark,Thousand tonnes of oil equivalent (TOE),Solar thermal,Gross inland consumption,11.4
2007,Denmark,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Gross inland consumption,0.2
2007,Denmark,Terajoule,Renewable energies,Gross inland consumption,134228.4
2007,Denmark,Terajoule,Hydro power,Gross inland consumption,100.8
2007,Denmark,Terajoule,Wind power,Gross inland consumption,25815.6
2007,Denmark,Terajoule,Solar thermal,Gross inland consumption,479
2007,Denmark,Terajoule,Solar photovoltaic,Gross inland consumption,8.8
2007,Germany (until 1990 former territory of the FRG),Thousand tonnes,Renewable energies,Gross inland consumption,:
2007,Germany (until 1990 former territory of the FRG),Thousand tonnes,Hydro power,Gross inland consumption,:
2007,Germany (until 1990 former territory of the FRG),Thousand tonnes,Wind power,Gross inland consumption,:
2007,Germany (until 1990 former territory of the FRG),Thousand tonnes,Solar thermal,Gross inland consumption,:
2007,Germany (until 1990 former territory of the FRG),Thousand tonnes,Solar photovoltaic,Gross inland consumption,:
2007,Germany (until 1990 former territory of the FRG),Thousand tonnes of oil equivalent (TOE),Renewable energies,Gross inland consumption,23728.1
2007,Germany (until 1990 former territory of the FRG),Thousand tonnes of oil equivalent (TOE),Hydro power,Gross inland consumption,1820.2
2007,Germany (until 1990 former territory of the FRG),Thousand tonnes of oil equivalent (TOE),Wind power,Gross inland consumption,3414.7
2007,Germany (until 1990 former territory of the FRG),Thousand tonnes of oil equivalent (TOE),Solar thermal,Gross inland consumption,338.8
2007,Germany (until 1990 former territory of the FRG),Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Gross inland consumption,264.4
2007,Germany (until 1990 former territory of the FRG),Terajoule,Renewable energies,Gross inland consumption,993449
2007,Germany (until 1990 former territory of the FRG),Terajoule,Hydro power,Gross inland consumption,76208.4
2007,Germany (until 1990 former territory of the FRG),Terajoule,Wind power,Gross inland consumption,142966.8
2007,Germany (until 1990 former territory of the FRG),Terajoule,Solar thermal,Gross inland consumption,14184
2007,Germany (until 1990 former territory of the FRG),Terajoule,Solar photovoltaic,Gross inland consumption,11070
2007,Estonia,Thousand tonnes,Renewable energies,Gross inland consumption,:
2007,Estonia,Thousand tonnes,Hydro power,Gross inland consumption,:
2007,Estonia,Thousand tonnes,Wind power,Gross inland consumption,:
2007,Estonia,Thousand tonnes,Solar thermal,Gross inland consumption,:
2007,Estonia,Thousand tonnes,Solar photovoltaic,Gross inland consumption,:
2007,Estonia,Thousand tonnes of oil equivalent (TOE),Renewable energies,Gross inland consumption,601.6
2007,Estonia,Thousand tonnes of oil equivalent (TOE),Hydro power,Gross inland consumption,1.8
2007,Estonia,Thousand tonnes of oil equivalent (TOE),Wind power,Gross inland consumption,7.8
2007,Estonia,Thousand tonnes of oil equivalent (TOE),Solar thermal,Gross inland consumption,0
2007,Estonia,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Gross inland consumption,0
2007,Estonia,Terajoule,Renewable energies,Gross inland consumption,25189.2
2007,Estonia,Terajoule,Hydro power,Gross inland consumption,75.6
2007,Estonia,Terajoule,Wind power,Gross inland consumption,327.6
2007,Estonia,Terajoule,Solar thermal,Gross inland consumption,0
2007,Estonia,Terajoule,Solar photovoltaic,Gross inland consumption,0
2007,Ireland,Thousand tonnes,Renewable energies,Gross inland consumption,:
2007,Ireland,Thousand tonnes,Hydro power,Gross inland consumption,:
2007,Ireland,Thousand tonnes,Wind power,Gross inland consumption,:
2007,Ireland,Thousand tonnes,Solar thermal,Gross inland consumption,:
2007,Ireland,Thousand tonnes,Solar photovoltaic,Gross inland consumption,:
2007,Ireland,Thousand tonnes of oil equivalent (TOE),Renewable energies,Gross inland consumption,477.9
2007,Ireland,Thousand tonnes of oil equivalent (TOE),Hydro power,Gross inland consumption,57.4
2007,Ireland,Thousand tonnes of oil equivalent (TOE),Wind power,Gross inland consumption,168.4
2007,Ireland,Thousand tonnes of oil equivalent (TOE),Solar thermal,Gross inland consumption,1.4
2007,Ireland,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Gross inland consumption,0
2007,Ireland,Terajoule,Renewable energies,Gross inland consumption,20010.1
2007,Ireland,Terajoule,Hydro power,Gross inland consumption,2401.2
2007,Ireland,Terajoule,Wind power,Gross inland consumption,7048.8
2007,Ireland,Terajoule,Solar thermal,Gross inland consumption,58
2007,Ireland,Terajoule,Solar photovoltaic,Gross inland consumption,0
2007,Greece,Thousand tonnes,Renewable energies,Gross inland consumption,:
2007,Greece,Thousand tonnes,Hydro power,Gross inland consumption,:
2007,Greece,Thousand tonnes,Wind power,Gross inland consumption,:
2007,Greece,Thousand tonnes,Solar thermal,Gross inland consumption,:
2007,Greece,Thousand tonnes,Solar photovoltaic,Gross inland consumption,:
2007,Greece,Thousand tonnes of oil equivalent (TOE),Renewable energies,Gross inland consumption,1726.8
2007,Greece,Thousand tonnes of oil equivalent (TOE),Hydro power,Gross inland consumption,222.8
2007,Greece,Thousand tonnes of oil equivalent (TOE),Wind power,Gross inland consumption,156.3
2007,Greece,Thousand tonnes of oil equivalent (TOE),Solar thermal,Gross inland consumption,159.7
2007,Greece,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Gross inland consumption,0.1
2007,Greece,Terajoule,Renewable energies,Gross inland consumption,72297.9
2007,Greece,Terajoule,Hydro power,Gross inland consumption,9327.6
2007,Greece,Terajoule,Wind power,Gross inland consumption,6544.8
2007,Greece,Terajoule,Solar thermal,Gross inland consumption,6687
2007,Greece,Terajoule,Solar photovoltaic,Gross inland consumption,5.1
2007,Spain,Thousand tonnes,Renewable energies,Gross inland consumption,:
2007,Spain,Thousand tonnes,Hydro power,Gross inland consumption,:
2007,Spain,Thousand tonnes,Wind power,Gross inland consumption,:
2007,Spain,Thousand tonnes,Solar thermal,Gross inland consumption,:
2007,Spain,Thousand tonnes,Solar photovoltaic,Gross inland consumption,:
2007,Spain,Thousand tonnes of oil equivalent (TOE),Renewable energies,Gross inland consumption,10007.5
2007,Spain,Thousand tonnes of oil equivalent (TOE),Hydro power,Gross inland consumption,2348.2
2007,Spain,Thousand tonnes of oil equivalent (TOE),Wind power,Gross inland consumption,2370.4
2007,Spain,Thousand tonnes of oil equivalent (TOE),Solar thermal,Gross inland consumption,94.5
2007,Spain,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Gross inland consumption,43
2007,Spain,Terajoule,Renewable energies,Gross inland consumption,418992.2
2007,Spain,Terajoule,Hydro power,Gross inland consumption,98312.4
2007,Spain,Terajoule,Wind power,Gross inland consumption,99244.8
2007,Spain,Terajoule,Solar thermal,Gross inland consumption,3955
2007,Spain,Terajoule,Solar photovoltaic,Gross inland consumption,1802.2
2007,France,Thousand tonnes,Renewable energies,Gross inland consumption,:
2007,France,Thousand tonnes,Hydro power,Gross inland consumption,:
2007,France,Thousand tonnes,Wind power,Gross inland consumption,:
2007,France,Thousand tonnes,Solar thermal,Gross inland consumption,:
2007,France,Thousand tonnes,Solar photovoltaic,Gross inland consumption,:
2007,France,Thousand tonnes of oil equivalent (TOE),Renewable energies,Gross inland consumption,16818.7
2007,France,Thousand tonnes of oil equivalent (TOE),Hydro power,Gross inland consumption,4953.1
2007,France,Thousand tonnes of oil equivalent (TOE),Wind power,Gross inland consumption,350
2007,France,Thousand tonnes of oil equivalent (TOE),Solar thermal,Gross inland consumption,39.9
2007,France,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Gross inland consumption,1.5
2007,France,Terajoule,Renewable energies,Gross inland consumption,704163.7
2007,France,Terajoule,Hydro power,Gross inland consumption,207374.4
2007,France,Terajoule,Wind power,Gross inland consumption,14652
2007,France,Terajoule,Solar thermal,Gross inland consumption,1670
2007,France,Terajoule,Solar photovoltaic,Gross inland consumption,63.3
2007,Croatia,Thousand tonnes,Renewable energies,Gross inland consumption,:
2007,Croatia,Thousand tonnes,Hydro power,Gross inland consumption,:
2007,Croatia,Thousand tonnes,Wind power,Gross inland consumption,:
2007,Croatia,Thousand tonnes,Solar thermal,Gross inland consumption,:
2007,Croatia,Thousand tonnes,Solar photovoltaic,Gross inland consumption,:
2007,Croatia,Thousand tonnes of oil equivalent (TOE),Renewable energies,Gross inland consumption,1537.1
2007,Croatia,Thousand tonnes of oil equivalent (TOE),Hydro power,Gross inland consumption,404.1
2007,Croatia,Thousand tonnes of oil equivalent (TOE),Wind power,Gross inland consumption,3
2007,Croatia,Thousand tonnes of oil equivalent (TOE),Solar thermal,Gross inland consumption,3.2
2007,Croatia,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Gross inland consumption,0
2007,Croatia,Terajoule,Renewable energies,Gross inland consumption,64357.1
2007,Croatia,Terajoule,Hydro power,Gross inland consumption,16920
2007,Croatia,Terajoule,Wind power,Gross inland consumption,126
2007,Croatia,Terajoule,Solar thermal,Gross inland consumption,135
2007,Croatia,Terajoule,Solar photovoltaic,Gross inland consumption,0
2007,Italy,Thousand tonnes,Renewable energies,Gross inland consumption,:
2007,Italy,Thousand tonnes,Hydro power,Gross inland consumption,:
2007,Italy,Thousand tonnes,Wind power,Gross inland consumption,:
2007,Italy,Thousand tonnes,Solar thermal,Gross inland consumption,:
2007,Italy,Thousand tonnes,Solar photovoltaic,Gross inland consumption,:
2007,Italy,Thousand tonnes of oil equivalent (TOE),Renewable energies,Gross inland consumption,16946
2007,Italy,Thousand tonnes of oil equivalent (TOE),Hydro power,Gross inland consumption,2821.7
2007,Italy,Thousand tonnes of oil equivalent (TOE),Wind power,Gross inland consumption,346.9
2007,Italy,Thousand tonnes of oil equivalent (TOE),Solar thermal,Gross inland consumption,52.2
2007,Italy,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Gross inland consumption,3.3
2007,Italy,Terajoule,Renewable energies,Gross inland consumption,709496.4
2007,Italy,Terajoule,Hydro power,Gross inland consumption,118137.6
2007,Italy,Terajoule,Wind power,Gross inland consumption,14522.4
2007,Italy,Terajoule,Solar thermal,Gross inland consumption,2186
2007,Italy,Terajoule,Solar photovoltaic,Gross inland consumption,140.2
2007,Cyprus,Thousand tonnes,Renewable energies,Gross inland consumption,:
2007,Cyprus,Thousand tonnes,Hydro power,Gross inland consumption,:
2007,Cyprus,Thousand tonnes,Wind power,Gross inland consumption,:
2007,Cyprus,Thousand tonnes,Solar thermal,Gross inland consumption,:
2007,Cyprus,Thousand tonnes,Solar photovoltaic,Gross inland consumption,:
2007,Cyprus,Thousand tonnes of oil equivalent (TOE),Renewable energies,Gross inland consumption,73.3
2007,Cyprus,Thousand tonnes of oil equivalent (TOE),Hydro power,Gross inland consumption,0
2007,Cyprus,Thousand tonnes of oil equivalent (TOE),Wind power,Gross inland consumption,0
2007,Cyprus,Thousand tonnes of oil equivalent (TOE),Solar thermal,Gross inland consumption,53.5
2007,Cyprus,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Gross inland consumption,0.1
2007,Cyprus,Terajoule,Renewable energies,Gross inland consumption,3068.2
2007,Cyprus,Terajoule,Hydro power,Gross inland consumption,0
2007,Cyprus,Terajoule,Wind power,Gross inland consumption,0
2007,Cyprus,Terajoule,Solar thermal,Gross inland consumption,2240
2007,Cyprus,Terajoule,Solar photovoltaic,Gross inland consumption,6.3
2007,Latvia,Thousand tonnes,Renewable energies,Gross inland consumption,:
2007,Latvia,Thousand tonnes,Hydro power,Gross inland consumption,:
2007,Latvia,Thousand tonnes,Wind power,Gross inland consumption,:
2007,Latvia,Thousand tonnes,Solar thermal,Gross inland consumption,:
2007,Latvia,Thousand tonnes,Solar photovoltaic,Gross inland consumption,:
2007,Latvia,Thousand tonnes of oil equivalent (TOE),Renewable energies,Gross inland consumption,1406.8
2007,Latvia,Thousand tonnes of oil equivalent (TOE),Hydro power,Gross inland consumption,235
2007,Latvia,Thousand tonnes of oil equivalent (TOE),Wind power,Gross inland consumption,4.6
2007,Latvia,Thousand tonnes of oil equivalent (TOE),Solar thermal,Gross inland consumption,0
2007,Latvia,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Gross inland consumption,0
2007,Latvia,Terajoule,Renewable energies,Gross inland consumption,58900.5
2007,Latvia,Terajoule,Hydro power,Gross inland consumption,9838.8
2007,Latvia,Terajoule,Wind power,Gross inland consumption,190.8
2007,Latvia,Terajoule,Solar thermal,Gross inland consumption,0
2007,Latvia,Terajoule,Solar photovoltaic,Gross inland consumption,0
2007,Lithuania,Thousand tonnes,Renewable energies,Gross inland consumption,:
2007,Lithuania,Thousand tonnes,Hydro power,Gross inland consumption,:
2007,Lithuania,Thousand tonnes,Wind power,Gross inland consumption,:
2007,Lithuania,Thousand tonnes,Solar thermal,Gross inland consumption,:
2007,Lithuania,Thousand tonnes,Solar photovoltaic,Gross inland consumption,:
2007,Lithuania,Thousand tonnes of oil equivalent (TOE),Renewable energies,Gross inland consumption,964.2
2007,Lithuania,Thousand tonnes of oil equivalent (TOE),Hydro power,Gross inland consumption,36.2
2007,Lithuania,Thousand tonnes of oil equivalent (TOE),Wind power,Gross inland consumption,9.1
2007,Lithuania,Thousand tonnes of oil equivalent (TOE),Solar thermal,Gross inland consumption,0
2007,Lithuania,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Gross inland consumption,0
2007,Lithuania,Terajoule,Renewable energies,Gross inland consumption,40368.1
2007,Lithuania,Terajoule,Hydro power,Gross inland consumption,1515.6
2007,Lithuania,Terajoule,Wind power,Gross inland consumption,381.6
2007,Lithuania,Terajoule,Solar thermal,Gross inland consumption,0
2007,Lithuania,Terajoule,Solar photovoltaic,Gross inland consumption,0
2007,Luxembourg,Thousand tonnes,Renewable energies,Gross inland consumption,:
2007,Luxembourg,Thousand tonnes,Hydro power,Gross inland consumption,:
2007,Luxembourg,Thousand tonnes,Wind power,Gross inland consumption,:
2007,Luxembourg,Thousand tonnes,Solar thermal,Gross inland consumption,:
2007,Luxembourg,Thousand tonnes,Solar photovoltaic,Gross inland consumption,:
2007,Luxembourg,Thousand tonnes of oil equivalent (TOE),Renewable energies,Gross inland consumption,127.8
2007,Luxembourg,Thousand tonnes of oil equivalent (TOE),Hydro power,Gross inland consumption,10.1
2007,Luxembourg,Thousand tonnes of oil equivalent (TOE),Wind power,Gross inland consumption,5.5
2007,Luxembourg,Thousand tonnes of oil equivalent (TOE),Solar thermal,Gross inland consumption,0.4
2007,Luxembourg,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Gross inland consumption,1.8
2007,Luxembourg,Terajoule,Renewable energies,Gross inland consumption,5352.6
2007,Luxembourg,Terajoule,Hydro power,Gross inland consumption,421.2
2007,Luxembourg,Terajoule,Wind power,Gross inland consumption,230.4
2007,Luxembourg,Terajoule,Solar thermal,Gross inland consumption,17
2007,Luxembourg,Terajoule,Solar photovoltaic,Gross inland consumption,75.2
2007,Hungary,Thousand tonnes,Renewable energies,Gross inland consumption,:
2007,Hungary,Thousand tonnes,Hydro power,Gross inland consumption,:
2007,Hungary,Thousand tonnes,Wind power,Gross inland consumption,:
2007,Hungary,Thousand tonnes,Solar thermal,Gross inland consumption,:
2007,Hungary,Thousand tonnes,Solar photovoltaic,Gross inland consumption,:
2007,Hungary,Thousand tonnes of oil equivalent (TOE),Renewable energies,Gross inland consumption,1883.5
2007,Hungary,Thousand tonnes of oil equivalent (TOE),Hydro power,Gross inland consumption,18.1
2007,Hungary,Thousand tonnes of oil equivalent (TOE),Wind power,Gross inland consumption,9.5
2007,Hungary,Thousand tonnes of oil equivalent (TOE),Solar thermal,Gross inland consumption,2.5
2007,Hungary,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Gross inland consumption,0
2007,Hungary,Terajoule,Renewable energies,Gross inland consumption,78857.2
2007,Hungary,Terajoule,Hydro power,Gross inland consumption,756
2007,Hungary,Terajoule,Wind power,Gross inland consumption,396
2007,Hungary,Terajoule,Solar thermal,Gross inland consumption,105
2007,Hungary,Terajoule,Solar photovoltaic,Gross inland consumption,1.1
2007,Malta,Thousand tonnes,Renewable energies,Gross inland consumption,:
2007,Malta,Thousand tonnes,Hydro power,Gross inland consumption,:
2007,Malta,Thousand tonnes,Wind power,Gross inland consumption,:
2007,Malta,Thousand tonnes,Solar thermal,Gross inland consumption,:
2007,Malta,Thousand tonnes,Solar photovoltaic,Gross inland consumption,:
2007,Malta,Thousand tonnes of oil equivalent (TOE),Renewable energies,Gross inland consumption,0.8
2007,Malta,Thousand tonnes of oil equivalent (TOE),Hydro power,Gross inland consumption,0
2007,Malta,Thousand tonnes of oil equivalent (TOE),Wind power,Gross inland consumption,0
2007,Malta,Thousand tonnes of oil equivalent (TOE),Solar thermal,Gross inland consumption,0.8
2007,Malta,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Gross inland consumption,0
2007,Malta,Terajoule,Renewable energies,Gross inland consumption,33
2007,Malta,Terajoule,Hydro power,Gross inland consumption,0
2007,Malta,Terajoule,Wind power,Gross inland consumption,0
2007,Malta,Terajoule,Solar thermal,Gross inland consumption,33
2007,Malta,Terajoule,Solar photovoltaic,Gross inland consumption,0
2007,Netherlands,Thousand tonnes,Renewable energies,Gross inland consumption,:
2007,Netherlands,Thousand tonnes,Hydro power,Gross inland consumption,:
2007,Netherlands,Thousand tonnes,Wind power,Gross inland consumption,:
2007,Netherlands,Thousand tonnes,Solar thermal,Gross inland consumption,:
2007,Netherlands,Thousand tonnes,Solar photovoltaic,Gross inland consumption,:
2007,Netherlands,Thousand tonnes of oil equivalent (TOE),Renewable energies,Gross inland consumption,2587.1
2007,Netherlands,Thousand tonnes of oil equivalent (TOE),Hydro power,Gross inland consumption,9.2
2007,Netherlands,Thousand tonnes of oil equivalent (TOE),Wind power,Gross inland consumption,295.6
2007,Netherlands,Thousand tonnes of oil equivalent (TOE),Solar thermal,Gross inland consumption,19.1
2007,Netherlands,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Gross inland consumption,3.2
2007,Netherlands,Terajoule,Renewable energies,Gross inland consumption,108314.7
2007,Netherlands,Terajoule,Hydro power,Gross inland consumption,385.2
2007,Netherlands,Terajoule,Wind power,Gross inland consumption,12376.8
2007,Netherlands,Terajoule,Solar thermal,Gross inland consumption,798
2007,Netherlands,Terajoule,Solar photovoltaic,Gross inland consumption,135.2
2007,Austria,Thousand tonnes,Renewable energies,Gross inland consumption,:
2007,Austria,Thousand tonnes,Hydro power,Gross inland consumption,:
2007,Austria,Thousand tonnes,Wind power,Gross inland consumption,:
2007,Austria,Thousand tonnes,Solar thermal,Gross inland consumption,:
2007,Austria,Thousand tonnes,Solar photovoltaic,Gross inland consumption,:
2007,Austria,Thousand tonnes of oil equivalent (TOE),Renewable energies,Gross inland consumption,7854.7
2007,Austria,Thousand tonnes of oil equivalent (TOE),Hydro power,Gross inland consumption,3186.1
2007,Austria,Thousand tonnes of oil equivalent (TOE),Wind power,Gross inland consumption,175.2
2007,Austria,Thousand tonnes of oil equivalent (TOE),Solar thermal,Gross inland consumption,103.6
2007,Austria,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Gross inland consumption,2.1
2007,Austria,Terajoule,Renewable energies,Gross inland consumption,328859.1
2007,Austria,Terajoule,Hydro power,Gross inland consumption,133394.4
2007,Austria,Terajoule,Wind power,Gross inland consumption,7333.2
2007,Austria,Terajoule,Solar thermal,Gross inland consumption,4336
2007,Austria,Terajoule,Solar photovoltaic,Gross inland consumption,87.3
2007,Poland,Thousand tonnes,Renewable energies,Gross inland consumption,:
2007,Poland,Thousand tonnes,Hydro power,Gross inland consumption,:
2007,Poland,Thousand tonnes,Wind power,Gross inland consumption,:
2007,Poland,Thousand tonnes,Solar thermal,Gross inland consumption,:
2007,Poland,Thousand tonnes,Solar photovoltaic,Gross inland consumption,:
2007,Poland,Thousand tonnes of oil equivalent (TOE),Renewable energies,Gross inland consumption,4823.8
2007,Poland,Thousand tonnes of oil equivalent (TOE),Hydro power,Gross inland consumption,202.2
2007,Poland,Thousand tonnes of oil equivalent (TOE),Wind power,Gross inland consumption,44.9
2007,Poland,Thousand tonnes of oil equivalent (TOE),Solar thermal,Gross inland consumption,0.4
2007,Poland,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Gross inland consumption,0
2007,Poland,Terajoule,Renewable energies,Gross inland consumption,201964
2007,Poland,Terajoule,Hydro power,Gross inland consumption,8467.2
2007,Poland,Terajoule,Wind power,Gross inland consumption,1879.2
2007,Poland,Terajoule,Solar thermal,Gross inland consumption,15
2007,Poland,Terajoule,Solar photovoltaic,Gross inland consumption,0
2007,Portugal,Thousand tonnes,Renewable energies,Gross inland consumption,:
2007,Portugal,Thousand tonnes,Hydro power,Gross inland consumption,:
2007,Portugal,Thousand tonnes,Wind power,Gross inland consumption,:
2007,Portugal,Thousand tonnes,Solar thermal,Gross inland consumption,:
2007,Portugal,Thousand tonnes,Solar photovoltaic,Gross inland consumption,:
